"","province","score"
"1","گیلان",-0.117921511656693
"2","خراسان شمالی",-0.0861715218356684
"3","سیستان و بلوچستان",-0.062607369978038
"4","مازندران",-0.0521672770563369
"5","همدان",-0.0411922713706035
"6","لرستان",-0.0394093939940929
"7","خراسان جنوبی",-0.029085963474852
"8","کرمانشاه",-0.0155930558550585
"9","گلستان",-0.0143619540070557
"10","کرمان",-0.0110346655274466
"11","خراسان رضوی",-0.00873157665234498
"12","اردبیل",-0.00324988248981538
"13","هرمزگان",0.00402348716598945
"14","تهران",0.00420365358106597
"15","آذربايجان شرقي",0.0052984070404647
"16","سمنان",0.00881984700179208
"17","مرکزی",0.0120798389666201
"18","اصفهان",0.0150756293671394
"19","آذربايجان غربی",0.0179440346300615
"20","کهگیلویه و بویراحمد",0.0252781739122741
"21","خوزستان",0.0257463717014915
"22","بوشهر",0.0383499155693316
"23","فارس",0.0384133205192176
"24","چهارمحال و بختیاری",0.0430770127217586
"25","زنجان",0.0492159947805244
"26","یزد",0.0553977045676227
"27","کردستان",0.0575456755173814
"28","قزوین",0.0642266488379919
"29","قم",0.06670063487863
"30","ایلام",0.079467806875571
"31","البرز",0.0829631683496146
